Trading Name,Code,Last Price,ROE %,Market Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Eneco Energy,R14,0.01,-3.6191,23.129,31.302,,,Industrials,77
EnGro,S44,0.695,0.41790000000000005,80.718,185.412,73.913043,4.41,Basic Materials,65
Envictus,BQD,0.295,28.716399999999997,89.733,742.436,5.861641,,Consumer Defensive,69
Enviro-Hub,L23,0.023,-37.0379,35.447,29.957,,,Industrials,63
ES,5RC,0.06,11.637699999999999,8.472,36.065,3.488372,,Industrials,66
ETC Singapore,1C0,0.034,-180.4689,33.390,13.677,10.967742,,Real Estate,82
EuroSports Gbl,5G1,0.13,-71.5706,31.738,25.123,,,Consumer Cyclical,71
Ever Glory,ZKX,0.43,59.1616,149.141,74.672,16.522574,1.4500000000000002,Industrials,
Ezra,5DN,0.011,,32.329,,,,Energy,30
F & N,F99,1.26,5.1927,1835.395,2303.636,12.343865,4.37,Consumer Defensive,86
Far East,5TJ,0.079,7.3418,8.805,98.743,2.947761,,Industrials,70
Far East Orchard,O10,1.01,4.2991,493.990,191.873,8.367854,3.9600000000000004,Real Estate,81
Federal Int,BDU,0.142,5.7756,19.975,44.260,5.144928,3.52,Energy,71
Figtree,5F4,0.021,-18.3313,7.547,11.293,,,Real Estate,59
First Resources,EB5,1.43,18.3232,2215.452,1038.754,7.037128,6.8500000000000005,Consumer Defensive,81
First Sponsor,ADN,1.06,4.3889,1197.022,317.559,13.486005,4.390000000000001,Real Estate,75
FJ Benjamin,F10,0.009,-16.2956,10.686,70.247,,,Consumer Cyclical,70
Food Empire,F03,1.75,17.8224,924.284,476.347,13.720018,3.4299999999999997,Consumer Defensive,57
FoodInnovators,KYB,0.13,-130.4783,18.087,43.136,,,Consumer Cyclical,
Forise Int,8A1,0.088,-94.3099,3.749,0.429,,,Financial Services,72
FortressMinerals,OAJ,0.23,7.560600000000001,120.363,56.254,16.427339,2.6100000000000003,Basic Materials,79
Frasers Property,TQ5,0.82,1.575,3219.354,4257.153,12.058824,5.489999999999999,Real Estate,100
Frencken,E28,1.12,8.8888,478.341,794.333,12.903226,2.33,Technology,58
Fu Yu,F13,0.096,-2.8388,73.151,114.888,,,Industrials,71
Full Apex,BTY,0.405,,17.807,,,,Consumer Cyclical,7
Fuxing China,AWK,0.183,0.122,3.149,735.871,25.661672,,Consumer Cyclical,64
G Invacom,QS9,0.019,-29.106199999999998,5.162,34.676,,,Technology,62
Gallant Venture,5IG,0.089,-6.582000000000001,486.221,190.915,,,Utilities,69
GCCP,41T,0.003,-19.343,4.600,1.121,,,Basic Materials,37
GDS Global,5VP,0.055,-32.7068,12.320,13.360,,,Industrials,63
Genting Sing,G13,0.7,7.020999999999999,8458.041,2529.960,14.613779,5.71,Consumer Cyclical,93
Geo Energy Res,RE4,0.375,14.998700000000001,530.332,391.937,7.682694,2.8000000000000003,Energy,82
GHY Culture,XJB,0.171,-23.9788,182.915,417.602,,0.58,Communication Services,73
Global Inv,B73,0.125,9.6309,202.447,14.113,7.961783,6.4,Financial Services,91
Global Testing,AYN,1.06,11.0139,35.703,41.520,5.516202,4.72,Technology,49
Golden Agri-Res,E5H,0.24,7.270300000000001,3043.602,10909.719,6.510214,3.35,Consumer Defensive,77
Goodland,5PC,0.13,-1.0749,46.679,10.942,,4.42,Real Estate,63
Goodwill,GEH,0.16,31.7079,64.000,52.987,13.114754,4.6899999999999995,Communication Services,
GP Industries,G20,0.485,-16.2848,234.664,1114.463,,5.1499999999999995,Industrials,71
Grand Banks,G50,0.495,27.347700000000003,92.359,135.846,4.245283,3.0300000000000002,Consumer Cyclical,71
Grand Venture,JLB,0.805,8.8198,273.128,159.515,24.617737,0.37,Technology,82
GRC,S3N,0.042,6.2996,47.404,11.237,11.351351,,Real Estate,78
Great Eastern,G07,25.8,12.0124,12211.632,7147.900,13.163265,3.29,Financial Services,92
Green Build,Y06,0.019,,5.553,4.311,,,Industrials,55
GRP,BLU,0.065,-0.029500000000000002,11.893,7.978,,,Technology,72
GS Hldg,43A,0.039,-147.0375,33.397,9.235,,,Industrials,53
GSH,BDX,0.159,-2.9687,313.434,125.161,,,Industrials,87
GSS Energy,41F,0.011,-41.5006,11.735,99.878,,,Technology,72
GuocoLand,F17,1.44,2.3466,1660.025,1762.485,13.495783,4.17,Real Estate,85
H2G Green,5AI,0.006,-38.378299999999996,8.730,13.431,,,Consumer Cyclical,60
Hafary,5VS,0.34,22.271,146.387,263.136,5.312500,4.41,Industrials,59
Hai Leck,BLH,0.535,-0.127,121.039,51.975,44.583333,,Energy,49
Halcyon Agri,5VJ,0.41,-7.1221000000000005,653.955,3777.123,,,Basic Materials,85
Hatten Land,PH0,0.011,-35.2991,20.428,112.407,,,Real Estate,66
Haw Par,H02,11.82,5.9879,2616.572,244.824,11.464597,3.38,Healthcare,90
HC Surgical,1B1,0.295,28.7079,45.373,19.133,12.090164,5.08,Healthcare,58
HealthBank,40B,0.074,-40.0726,6.978,0.188,,,Real Estate,68
Heatec Jietong,5OR,0.016,0.6851,3.276,19.562,,,Energy,72
Heeton,5DP,0.25,-0.32130000000000003,121.871,78.160,,2,Consumer Cyclical,43
Helens,HLS,0.51,-5.3041,332.707,752.206,,9.6,Consumer Cyclical,
Hengyang Petro,5PD,0.162,0.0839,32.961,0.000,,,Energy,59
HG Metal,BTG,0.36,4.9726,98.907,157.867,7.114625,,Basic Materials,82
HGH,5GZ,0.016,-0.4331,28.494,21.318,,,Industrials,74
Hiap Hoe,5JK,0.51,0.9156,239.984,125.357,36.428571,1.47,Consumer Cyclical,77
Hiap Seng Ind,1L2,0.006,1696.1116,26.876,25.438,2.608696,,Industrials,
Hiap Tong,5PO,0.092,4.3191,29.198,93.420,7.863248,1.09,Industrials,65
HL Global Ent,AVX,0.275,2.0909,25.827,5.712,15.714286,,Consumer Cyclical,75
Ho Bee Land,H13,1.77,3.0063,1175.309,528.040,10.727273,2.26,Real Estate,90
Hock Lian Seng,J2T,0.37,11.7886,189.478,183.456,5.920000,4.859999999999999,Industrials,67
Hoe Leong,H20,0.001,2.8579,15.139,44.010,20.833333,,Industrials,76
Hong Fok,H30,0.75,1.0311000000000001,614.473,104.319,20.270270,1.3299999999999998,Real Estate,81
Hong Lai Huat,CTO,0.045,-11.948699999999999,23.303,0.102,,,Real Estate,49
Hong Leong Asia,H22,1.18,9.0672,882.807,4249.425,10.094098,3.39,Consumer Cyclical,100
Hong Leong Fin,S41,2.51,4.9946,1126.023,233.283,10.823631,5.48,Financial Services,96
HongkongLand USD,H78,5.24,-4.4742,11515.739,2002.100,,4.390000000000001,Real Estate,
Hor Kew,BBP,0.73,17.3898,38.009,82.870,2.767248,4.109999999999999,Industrials,60
Hosen,5EV,0.047,5.7054,15.270,72.750,7.704918,4.26,Consumer Defensive,78
Hotel Grand,H18,0.7,-1.0814000000000001,517.598,140.488,,2.1399999999999997,Consumer Cyclical,71
Hotel Royal,H12,1.77,0.9606999999999999,214.099,66.753,32.007233,1.53,Consumer Cyclical,90
Hotung Inv,BLS,1.33,2.5991,126.135,415.362,18.566301,8.17,Financial Services,46
HPL,H15,4.22,0.8696,2216.555,692.928,109.326425,0.95,Consumer Cyclical,80
HRnetGroup,CHZ,0.675,11.7858,661.301,566.996,14.900662,5.93,Industrials,76
Huationg Global,41B,0.245,15.6861,43.424,226.365,2.654388,4.49,Industrials,79
Hyphens Pharma,1J5,0.305,15.2281,94.207,195.420,9.413580,4.92,Healthcare,88
ICP Ltd,5I4,0.009,-5.2431,30.079,11.955,,,Consumer Cyclical,54
IFAST,AIY,6.45,23.5038,1934.963,360.439,27.837721,0.96,Technology,83
IFS Capital,I49,0.129,1.0622,48.500,51.306,25.800000,3.88,Financial Services,57
IHH,Q0F,2.09,8.9694,18524.046,24382.000,22.774436,1.44,Healthcare,
Imperium Crown,5HT,0.007,-167.5751,5.523,2.218,,,Consumer Cyclical,61
Incredible,RDR,0.002,-57.3524,5.987,4.891,,,Consumer Cyclical,74
Indofood Agri,5JS,0.315,8.0359,439.710,15967804.000,4.981327,3.17,Consumer Defensive,82
