Trading Name,Sector,Ticker,fy_ended,ROA,ROE,operating_margin,cash_flow_margin,debt_ratio_lag1,debt_equity_ratio_lag1,current_ratio_lag1,interest_coverage_ratio_lag1,gross_margin_lag1,net_profit_margin_lag1,asset_turnover_lag1,log_assets_lag1
CDW,Technology,BXE.SI,2023,-0.011170506528285764,-0.019613583138173303,-0.0051639839586881285,0.1002398871980809,0.13804046350967347,0.27269824195771286,1.7135573879113597,28.34804753820034,0.17348910751932536,0.09737012811503325,1.2590991849444435,18.582272243519924
CDW,Technology,BXE.SI,2022,0.1225986489475744,0.24219301489125686,0.1128236661441159,0.033542353640737335,0.12383752986583349,0.2658774785439479,1.7926508213133598,14.177049180327868,0.18229672086512752,0.016406146370750982,1.3162929608527845,18.505205699022053
Casa,Consumer Cyclical,C04.SI,2024,0.07802434474934139,0.11784951858144904,0.4861929130056966,0.002896591677126581,0.0299029945170814,0.04790945181180843,1.8279596057914589,2.082944530844997,0.4382539750202481,0.08627818747602199,0.24735343736819906,18.36770181916148
Casa,Consumer Cyclical,C04.SI,2023,0.021341206242091945,0.03419207703353324,0.17127754806257725,-0.009505946545036021,0.03697864262968457,0.06008967098166127,1.9941271472617823,1.965946299934512,0.44187119394722274,0.08119579258165713,0.22483844534110595,18.38408937105238
Casa,Consumer Cyclical,C04.SI,2022,0.01825593577229869,0.0296655879180151,0.13849418711939473,0.0050747370363535705,0.0441781991282865,0.07445710126775106,1.917549896765313,2.3793103448275863,0.42726460228168867,0.12433625992324274,0.19102376122280917,18.416411644300158
Chemical Ind,Basic Materials,C05.SI,2024,0.03496484494412554,0.03796142641147619,0.07926098397696431,0.06625518372070595,0.0245979121571636,0.027314631697447286,5.818247052793439,61.6865671641791,0.06926644940720156,0.03552792050702761,0.6852207030714853,18.79903498451386
Chemical Ind,Basic Materials,C05.SI,2023,0.0243444666684933,0.027033194389509234,0.04131595257612412,-0.08631065437751165,0.030743530953160826,0.03599174789671066,4.437288545190913,38.73376623376623,0.2596823529411765,0.08,0.5568293481821159,18.84365827714516
Chemical Ind,Basic Materials,C05.SI,2022,0.044546347854569276,0.05215083863150064,0.0701764705882353,0.07135294117647059,0.03802247376456187,0.04432526034777171,4.1918069902363095,39.88636363636363,0.30652995143011336,0.08840989174946827,0.43325952109150423,18.795095404535772
CSC,Industrials,C06.SI,2024,-0.054149510771619114,-0.2512994378451145,-0.0430768525371883,0.0571235810806385,0.3572552401860854,1.3800125186770584,1.0457755942334361,-3.822680049304455,0.02379071727406377,-0.10083560406501914,0.6915451361664314,19.762552887519508
CSC,Industrials,C06.SI,2023,-0.06973237154356803,-0.2693635666114768,-0.08204490568747426,0.04004928212124762,0.272039393635752,0.7598416696653473,1.1827372036325576,3.0514449031438553,0.1031331398377614,0.021801741460147354,0.7693783191857885,19.671427395331637
CSC,Industrials,C06.SI,2022,0.01677378719993129,0.04685138539042821,0.03575574905112748,0.06792810895289127,0.2501259569657274,0.6759092456229194,1.1149238334525249,-2.879472693032015,0.06094216998536446,-0.06143002136452592,0.5478605748553032,19.60089759688384
Jardine C&C,Industrials,C07.SI,2024,0.0292339457481269,0.11407137602064815,0.15847773831306283,0.13648064435116422,0.2335553936580065,0.9410776923651019,1.2573500630626713,14.681399631675875,0.2270840360700713,0.05466279880366098,0.6863855823372518,24.201226709368708
Jardine C&C,Industrials,C07.SI,2023,0.03751975698903487,0.15118043635097148,0.1792709527985788,0.11114259371697137,0.2087989901788738,0.8511427495712075,1.4301489775584761,24.13405017921147,0.22760427534719807,0.03430479237671281,0.737713329844114,24.098560624285454
Jardine C&C,Industrials,C07.SI,2022,0.025307102613835782,0.10316121205360256,0.15611509123368342,0.13217871136769377,0.2298227076069485,0.9062186151298824,1.5579131994355722,16.630510846745977,0.21286182722749886,0.03734735413839892,0.6088036979799475,24.092411678743186
CityDev,Real Estate,C09.SI,2024,0.00786179124389466,0.02215113930660891,0.28220281444376477,0.28419963701360695,0.5074218798678981,1.339457299061085,1.7690771092211979,2.064090699271569,0.3336431145887745,0.06421882807565328,0.20389190865635098,23.911023350570797
CityDev,Real Estate,C09.SI,2023,0.013093699428019006,0.03456384512851113,0.18551923743620122,0.19233550443310335,0.45110489545665966,1.1248355230143001,2.1513487210270825,8.73440220606,0.3786184726907922,0.39027051875971824,0.14330998814979806,23.857935495630347
CityDev,Real Estate,C09.SI,2022,0.05592966341867077,0.13946129345341723,0.6366747808428521,-0.038110009282164126,0.4776043351940466,1.357646405944765,1.3621123229388947,2.187137314719634,0.372341102110438,0.03226113571475631,0.10995910473202794,23.896318390063982
